objectId,inSize,totalTime,generated
o70376,628,116,True
o65925,628,112,True
o64535,628,115,True
o9772,629,118,True
o71442,629,122,True
o81841,630,114,True
o44455,630,128,True
o42215,630,112,True
o30126,630,115,True
o82723,632,116,True
o66165,632,123,True
o83902,633,113,True
o39214,633,116,False
o67671,634,114,True
o43995,634,111,True
o90373,635,110,True
o51081,635,112,True
o46379,635,111,True
o39396,635,113,True
o2140,635,113,True
o63981,636,114,True
o58486,636,117,True
o30423,636,113,True
o80825,637,120,True
o73941,637,112,True
o69997,638,114,True
o48006,638,113,True
o90334,639,123,True
o41679,639,121,True
o89215,640,119,True
o66141,640,114,True
o47152,640,115,True
o88596,641,117,True
o53902,641,115,True
o48012,641,118,True
o79550,642,116,True
o17683,642,116,True
o62762,643,113,True
o58209,643,111,True
o51226,643,121,True
o79427,644,114,True
o53115,644,115,True
o43982,644,114,True
o21479,644,117,True
o90937,645,117,True
o90339,645,113,True
o79541,645,114,True
o64536,647,111,True
o27219,647,117,True
o5799,648,114,True
o47163,649,128,True
o9829,650,119,True
o68826,650,121,True
o4259,650,114,True
o90242,651,112,True
o83708,651,116,True
o2249,651,116,True
o10475,651,115,True
o86226,655,117,True
o65447,656,114,True
o47856,656,115,True
o10010,656,115,True
o66160,657,120,True
o55691,657,123,True
o39447,657,126,True
o90605,658,115,True
o83774,658,119,True
o7442,658,117,True
o69579,660,116,True
o17676,660,113,True
o90325,661,123,True
o88969,662,114,True
o40346,663,114,True
o12223,663,114,True
o89523,664,116,True
o57789,664,125,True
o42312,664,115,True
o33784,664,113,True
o76551,665,123,True
o74408,665,122,True
o57387,665,114,True
o44372,665,125,True
o36399,665,114,True
o79434,667,116,True
o58216,668,114,True
o81734,669,116,False
o58490,669,116,True
o45647,669,122,True
o89617,670,120,False
o68347,670,125,True
o47068,671,126,True
o44346,671,125,True
o36460,671,129,True
o44307,672,117,True
o44280,672,117,True
o47039,673,118,True
o39505,673,113,True
o25969,673,122,True
o48879,675,111,True
o9789,676,122,True
o90355,676,125,True
o77704,676,116,True
o53900,676,113,True
o44238,676,116,True
o43992,676,116,True
o35775,676,121,True
o90189,677,120,True
o53035,677,116,True
o28168,677,115,True
o10077,677,123,True
o69510,678,116,True
o28256,678,117,True
o90441,679,114,True
o41694,679,113,True
o2256,679,114,True
o20479,679,114,True
o13652,679,114,True
o84204,680,116,True
o66195,680,114,True
o64737,681,123,True
o6168,681,113,True
o44227,681,112,True
o79477,682,115,True
o36429,682,126,True
o79490,683,120,True
o68296,683,114,True
o10014,683,122,True
o19044,684,113,True
o67287,685,125,True
o55782,685,116,True
o42536,685,113,True
o41033,685,123,True
o91027,686,110,True
o83411,686,111,True
o6263,686,130,True
o13671,686,112,True
o81728,687,115,True
o44187,687,124,True
o28258,687,113,True
o83406,688,113,True
o76438,688,123,True
o39429,688,114,True
o9773,689,113,True
o81583,689,116,True
o42285,689,115,True
o21083,690,126,True
o15101,690,115,True
o48875,691,120,True
o39515,691,121,True
o14406,692,118,False
o79443,693,113,True
o21833,693,122,True
o948,694,122,True
o89106,696,116,True
o6173,696,120,True
o68325,697,114,True
o45408,698,120,True
o42284,698,122,True
o78783,699,114,True
o64532,699,113,True
o21091,699,116,True
o68313,700,116,True
o90219,701,121,True
o35188,701,114,True
o83392,702,122,True
o58495,702,122,True
o47924,702,115,True
o86359,703,115,True
o81566,703,125,True
o17545,703,127,True
o89213,704,120,True
o8491,704,114,True
o68314,704,115,True
o6201,704,118,True
o55253,704,122,False
o43988,704,113,True
o34358,704,115,True
o25107,704,114,True
o85199,705,114,True
o84354,705,117,True
o7441,705,116,True
o64016,705,119,True
o33706,705,114,True
o90234,706,124,True
o82725,706,117,True
o68285,706,115,True
o67175,706,113,True
o85907,707,115,True
o62758,707,115,True
o11172,707,114,True
o54545,708,116,True
o46432,708,112,True
o25953,708,113,True
o8435,710,112,True
o64727,711,121,True
o64018,711,115,True
o70013,712,125,True
o66173,712,112,True
o64858,712,117,True
o60114,712,116,True
o39448,712,119,False
o6244,713,115,True
o60838,713,123,True
o45166,713,115,True
o14445,713,120,True
o86499,714,122,True
o65548,715,112,True
o43004,715,115,True
o31043,715,120,True
o68811,716,128,True
o84908,717,118,True
o55578,717,116,True
o14491,717,122,True
o10030,717,122,True
o79542,718,119,True
o76654,718,113,True
o45219,719,114,True
o42156,719,126,True
o27354,719,117,True
o46428,720,114,True
o46406,720,114,True
o39439,720,124,True
o9275,721,114,True
o3206,721,121,True
o89223,722,113,True
o63991,723,118,True
o53002,723,117,True
o37730,723,116,False
o28139,723,112,True
o79498,724,111,True
o73409,724,120,True
o60145,724,116,True
o78997,725,113,True
o69486,725,123,True
o61536,725,130,True
o55173,725,114,True
o41588,725,112,True
o9939,726,115,True
o89016,726,113,True
o70019,726,116,True
o40352,726,115,True
o48257,727,116,True
o41579,727,114,True
o35770,727,123,True
o71333,729,121,True
o48546,729,121,True
o9209,730,115,True
o91010,730,112,True
o57639,730,111,True
o10020,730,122,True
o76903,731,117,False
o6178,731,117,True
o21499,731,112,True
o85205,732,117,True
o27248,732,120,True
o68286,733,115,True
o12604,733,113,True
o11859,733,123,True
o85177,734,122,True
o8438,734,115,True
o68446,734,118,True
o90437,735,114,True
o68825,735,111,True
o17437,735,113,True
o41765,736,115,True
o21087,736,115,True
o9350,737,115,False
o45401,737,114,False
o27034,737,127,True
o27022,737,115,True
o90453,738,122,True
o48813,738,114,True
o25970,738,123,True
o32488,739,114,True
o80790,740,114,True
o79554,740,112,True
o69519,740,113,True
o46527,740,116,True
o2142,740,124,True
o9824,742,115,True
o58916,742,128,True
o65455,743,117,False
o6185,743,122,True
o44276,743,119,True
o21040,743,125,True
o36595,744,120,True
o85918,745,117,True
o21096,745,120,True
o79475,746,115,True
o58496,746,114,True
o35778,746,124,True
o13688,746,116,True
o42523,747,127,True
o26992,748,113,True
o48814,749,115,True
o83776,751,121,True
o81526,751,115,True
o21860,751,114,True
o37725,752,120,True
o2232,752,112,True
o1114,752,112,True
o66138,754,125,True
o65581,754,113,True
o9905,755,114,True
o68472,755,122,True
o4256,756,112,True
o39165,756,114,True
o90390,757,114,True
o47064,757,114,True
o39141,757,127,True
o9976,758,116,False
o74422,762,115,True
o64832,762,122,True
o9861,763,117,True
o82176,763,113,True
o62650,763,116,True
o46526,763,123,True
o58907,765,123,True
o46922,766,117,True
o14025,766,124,True
o81565,767,121,True
o46264,767,114,True
o31277,767,115,True
o12617,767,117,True
o89792,768,117,False
o81725,769,113,True
o42309,769,117,True
o35776,769,120,True
o12085,769,114,True
o79522,770,113,True
o44268,770,122,True
o75595,771,113,True
o42304,771,116,True
o20483,772,113,True
o9863,773,130,True
o90407,773,112,True
o74198,773,113,True
o42540,773,123,True
o39082,773,121,True
o32246,773,115,True
o12218,773,113,True
o90260,774,120,True
o30604,774,113,True
o17547,774,127,True
o16739,774,113,True
o88586,776,119,True
o85925,776,112,True
o84353,776,115,True
o39766,776,119,True
o89030,777,121,True
o6210,777,115,True
o83898,778,114,True
o63378,778,116,False
o24196,779,115,True
o75574,780,120,True
o61082,780,113,True
o49741,780,113,True
o85940,781,113,True
o4834,781,112,True
o24176,782,126,True
o16425,782,127,False
o90179,783,114,True
o79513,783,111,True
o44130,783,121,True
o48246,784,123,True
o57603,785,112,True
o39497,786,122,True
o39085,786,115,True
o90886,787,116,True
o63687,788,114,True
o17399,788,114,True
o90161,789,112,True
o68328,789,113,True
o42983,790,116,True
o13122,791,116,True
o60836,792,116,True
o30076,792,114,True
o10337,792,112,True
o6120,793,113,True
o58913,794,113,True
o35798,794,113,True
o19070,795,126,True
o5467,796,114,True
o25406,796,114,True
o41597,797,112,True
o58633,798,116,True
o55086,798,118,True
o78131,799,113,True
o45307,799,115,True
o30775,799,119,True
o85203,800,116,True
o58617,800,117,False
o22866,800,116,True
o9945,801,112,True
o2463,801,117,True
o9274,802,114,True
o6268,802,118,True
o44373,802,115,True
o41717,802,114,True
o14741,802,116,True
o76479,803,114,True
o58492,803,125,True
o55249,803,131,True
o54549,803,117,True
o37050,803,113,True
o45388,806,124,True
o45138,807,119,True
o13981,807,127,True
o11174,807,116,True
o83170,808,124,True
o39431,808,127,True
o7289,809,125,True
o68329,809,123,True
o6324,810,119,True
o4234,810,116,True
o7384,811,125,True
o65921,811,114,True
